UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,41257.0,1.1217304034887394,456.13618052694096,513.0332258768209,501.8268778631505,455.28204910681825,505.36500472647066,486.32866762004016,0
AL,99634.0,1.0503883850910039,464.90107192323904,518.2708071541844,504.69333560832644,469.28858923660596,536.0744826063392,498.645657305739,0
AM,112223.0,1.040246187180782,459.59678942819204,517.1484793669747,503.8917458987909,460.39614963064616,521.191582830614,492.4449494310435,0
AP,40900.0,1.109939030085668,459.42425672371644,514.5537555012226,499.1460562347188,456.33697555012225,522.8704400977995,490.46629682151587,0
BA,425489.0,1.0771603224054642,469.7171391034786,527.4304256984317,510.7372905057475,472.7523468291777,532.8112007595967,502.6896805792864,1
CE,341489.0,0.8980986604997729,472.6939936571897,525.1110597998764,511.56338242227423,477.4197429492605,536.6357627917737,504.6847883240748,1
DF,105800.0,2.0060901048031914,484.7502173913044,546.7065812854443,532.4934555765595,497.76597731568995,553.9012759924385,523.1235015122874,2
ES,112066.0,1.6693702470757288,488.63758053290036,544.6732425534952,525.5255947388146,504.24602734103115,546.2791123088181,521.8723114950119,2
GO,185034.0,1.7166123138398004,476.76896246095305,533.9298296529287,520.6524309045905,488.44286509506355,538.0402358485468,511.5668647924165,1
MA,221244.0,0.9709573243404197,462.34475285205474,513.6460509663538,499.93734835746966,459.0926985590569,516.3347390211712,490.27111795122124,0
MG,622959.0,1.6791793885751423,487.57040511494336,545.4253222122161,530.3114869517898,508.087684903822,552.9841016824543,524.8758001730451,2
MS,82944.0,1.5821692992809777,470.24600212191365,527.1454342689043,514.966520785108,483.77527970679,517.3148389274692,502.6896151620371,1
MT,103177.0,1.7479079478065431,465.81516326313044,522.2910435465268,507.3699545441329,476.53389418184287,516.124194345639,497.62684997625445,0
PA,300720.0,1.114603485517983,465.1916989225858,521.3554618914605,502.90648676509704,462.2787855812716,522.3538441074754,494.81725545357807,0
PB,158662.0,1.048556961920477,471.65128701264325,526.8656496199468,512.8889639611248,478.2883904148441,542.9806885076451,506.5349959032408,1
PE,305612.0,1.118085507567709,474.6634458071018,530.0037577058492,517.4298856065861,480.9563407196053,539.8204062667696,508.5747672211823,1
PI,137504.0,0.9453180614022246,466.3271781184547,515.4170736851291,502.13579314056324,466.64404017337677,518.5199048754945,493.8087979986037,0
PR,269601.0,2.088780481777013,483.8243656366259,542.3368147744259,527.8280677742293,503.00351037273595,537.9139209424297,518.9813359000893,2
RJ,348908.0,1.843044290168601,491.3162157359533,556.376177101127,539.2084804590322,507.42494439795024,574.9200763525055,533.8491788093137,2
RN,125633.0,1.154087178986678,476.60157442710124,530.8103579473546,517.8802448401295,485.09962987431646,544.5039121886765,510.97914385551564,1
RO,66834.0,1.5437201539512635,463.67107909148035,519.7734715863184,507.41825567824753,472.9150986025076,504.57562019331476,493.67070503037377,0
RR,14673.0,1.3077127292672022,467.3384311320112,520.7293873100252,508.0500102228583,468.5026238669665,520.3594356982212,496.9959776460165,0
RS,271034.0,2.013672930917345,482.24525373200413,543.6525985669695,530.350770752009,504.16689086978016,542.9594257547024,520.674987935093,2
SC,122401.0,2.416896933653034,490.5511883072851,546.8442831349417,533.1343984117777,511.98476156240554,553.5693907729512,527.2168044378723,2
SE,84150.0,1.0238786894115812,471.78627450980383,522.9457611408201,506.84450505050506,473.11584194890077,538.0378966131907,502.5460558526441,1
SP,895904.0,2.2344402200700957,488.1449279163839,551.8707272207737,541.6533189939993,509.7005647926563,552.9804074990177,528.8699892845661,2
TO,50949.0,1.249233973213457,463.4462580227285,515.6900645743782,503.9011325050541,468.31390802567284,510.5321988655322,492.37671239867325,0
