COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1100015,RO,384,466.9739583333333,497.8822916666666,508.87213541666665,501.31874999999997,572.96875,509.6031770833333,ALTA FLORESTA D'OESTE,1.5760393873085339,1
1100023,RO,2522,462.05289452815225,494.0869547977796,510.00388580491676,497.9101110229976,551.9984139571768,503.21045202220466,ARIQUEMES,1.6592312442111763,1
1100049,RO,2893,469.8367784306948,498.75126166609056,512.7809885931558,511.22723816107845,566.9408918078119,511.90743173176634,CACOAL,1.8254768392370573,1
1100056,RO,345,466.8110144927536,490.0750724637681,506.3176811594203,500.9860869565218,561.7971014492754,505.19739130434783,CEREJEIRAS,1.788860103626943,1
1100064,RO,384,468.7989583333333,493.86692708333334,506.22812500000003,508.77734375,544.84375,504.5030208333334,COLORADO DO OESTE,1.9434604904632153,1
1100098,RO,600,465.9225,498.6596666666666,506.23833333333334,509.72883333333334,554.8666666666667,507.0831999999999,ESPIGÃO D'OESTE,1.6561181434599157,1
1100106,RO,1760,438.45454545454544,468.4498863636364,489.4327840909091,467.8965340909091,499.125,472.67175,GUAJARÁ-MIRIM,1.3253916449086163,0
1100114,RO,1081,451.90296022201665,483.927197039778,504.06123959296946,488.2095282146161,543.1082331174838,494.2418316373728,JARU,1.6719674556213018,0
1100122,RO,3243,463.9798334875116,492.86512488436637,509.42929386370645,503.4600061671292,555.5411655874191,505.0550847980265,JI-PARANÁ,1.8206457695027103,1
1100130,RO,380,458.35499999999996,480.66552631578946,496.0239473684211,489.94105263157894,545.3684210526316,494.07078947368416,MACHADINHO D'OESTE,1.475672877846791,0
1100148,RO,312,456.0907051282051,488.2041666666667,503.6608974358975,505.9599358974359,547.1794871794872,500.21903846153856,NOVA BRASILÂNDIA D'OESTE,1.4369627507163323,1
1100155,RO,817,459.2130966952264,487.8291309669523,504.35532435740515,491.16940024479806,555.4957160342717,499.61253365973073,OURO PRETO DO OESTE,1.632876712328767,1
1100189,RO,943,457.9242841993637,487.27794273594907,507.37041357370094,498.4749734888654,563.3085896076352,502.8712407211028,PIMENTA BUENO,1.7709030100334449,1
1100205,RO,16857,461.7487275315892,495.7928872278579,510.8331079076941,496.2230171442131,566.5302248324139,506.22559292875366,PORTO VELHO,1.7106390574794716,1
1100254,RO,476,461.12289915966386,489.90567226890755,502.93004201680674,494.3058823529412,555.4201680672269,500.73693277310923,PRESIDENTE MÉDICI,1.7454769736842106,1
