NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,3252,471.6208794587946,501.0466482164821,484.21632841328415,492.0194956949569,639.5694956949569,1.2676709154113557,0
ABAETÉ,MG,435,497.1344827586207,535.9652873563218,526.932643678161,564.2565517241379,661.7931034482758,2.226513569937369,2
ABREU E LIMA,PE,1247,485.0708901363272,516.0728949478749,511.677225340818,516.7950280673617,621.2670408981555,1.4100558659217877,0
ACARAPE,CE,295,466.886779661017,489.7142372881356,482.75457627118647,492.70067796610175,623.9322033898305,1.134422110552764,1
ACARAÚ,CE,895,471.6875977653632,496.9586592178771,487.21251396648046,524.6414525139664,689.9441340782123,1.177950594693504,0
ACARI,RN,323,492.8931888544892,525.147987616099,516.8609907120743,524.0708978328173,654.7987616099072,1.6424870466321244,0
ACARÁ,PA,401,458.015710723192,483.4349127182045,460.3366583541147,463.3822942643391,592.1695760598503,1.182282793867121,1
ACOPIARA,CE,721,475.295145631068,508.7550624133149,496.4776699029127,517.1940360610264,646.629680998613,1.129514963880289,0
ACRELÂNDIA,AC,193,461.8937823834197,499.2792746113989,487.0984455958549,494.1538860103626,571.1917098445596,1.6065891472868217,1
ACREÚNA,GO,285,476.29789473684207,507.8715789473684,498.3712280701754,510.5757894736842,614.1052631578947,1.9395491803278688,0
ADAMANTINA,SP,263,518.2992395437262,561.0026615969582,551.2882129277566,594.777566539924,693.9163498098859,2.80875,2
AFOGADOS DA INGAZEIRA,PE,638,490.75125391849525,524.0909090909091,518.2789968652038,547.4746081504702,652.5705329153604,1.3816455696202532,0
AFONSO CLÁUDIO,ES,363,493.98429752066113,534.1146005509642,510.8173553719009,545.6002754820936,687.8787878787879,1.8440476190476192,2
AFRÂNIO,PE,559,469.2288014311271,496.37656529516994,474.8955277280858,517.8910554561717,625.5813953488372,1.0704347826086955,1
