MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,4176,468.80162835249047,489.7638888888889,483.7472940613027,475.0170019157088,593.0603448275862,502.07803160919536,0.9016608391608392,0
ABAETÉ,MG,469,506.8505330490405,536.4735607675906,527.6844349680171,566.8194029850746,634.54157782516,554.4739019189766,1.89832285115304,2
ABREU E LIMA,PE,1737,478.08923431203226,503.52694300518135,502.48031088082905,496.1029936672424,579.0903857225101,511.857973517559,0.9732732072151342,1
ACARAPE,CE,386,461.04844559585496,479.8917098445596,485.2901554404145,478.4409326424871,595.5440414507772,500.04305699481864,0.7718609865470852,0
ACARAÚ,CE,1087,473.6780128794848,497.4560257589696,495.6043238270469,517.5026678932843,684.360625574977,533.7203311867526,0.756233303650935,1
ACARI,RN,436,498.3270642201835,525.7048165137614,519.1878440366972,527.534633027523,633.5321100917431,540.8572935779816,1.220250521920668,2
ACARÁ,PA,571,458.33029772329246,477.9998248686515,469.530472854641,453.06269702276705,549.9124343257444,481.7671453590193,0.8302213001383126,0
ACOPIARA,CE,996,460.4194779116466,482.5762048192771,484.313453815261,489.02981927710846,569.7590361445783,497.21959839357424,0.7018072289156626,0
ACRELÂNDIA,AC,238,459.71386554621847,483.2903361344538,485.64495798319325,470.97605042016806,524.7058823529412,484.866218487395,1.3387622149837133,0
ACREÚNA,GO,324,481.8929012345679,504.5833333333333,500.7768518518519,506.4645061728395,575.8024691358024,513.904012345679,1.7438398357289528,1
ADAMANTINA,SP,344,530.2026162790698,558.9404069767442,550.6264534883721,596.3994186046511,673.6627906976744,581.9663372093024,2.5317551963048497,2
AFOGADOS DA INGAZEIRA,PE,878,483.707972665148,513.6892938496584,512.3021640091116,536.6939635535307,609.8177676537586,531.2422323462415,0.9505606523955148,1
AFONSO CLÁUDIO,ES,404,499.4163366336634,531.8009900990099,520.3571782178218,554.7740099009901,639.9009900990098,549.2499009900991,1.6121244635193133,2
AFRÂNIO,PE,698,453.33681948424066,474.89742120343845,472.5163323782235,498.910888252149,556.4469914040114,491.22169054441264,0.7904903417533432,0
AGRESTINA,PE,313,479.27380191693294,516.6492012779553,509.87795527156544,525.0309904153355,631.5015974440895,532.4667092651757,0.8009641873278237,1
AGUDOS,SP,269,519.2825278810409,553.096282527881,548.2353159851301,576.003345724907,654.2007434944238,570.1636431226766,2.539230769230769,2
AIMORÉS,MG,407,500.35135135135135,532.2265356265357,526.8076167076167,550.6486486486486,625.1597051597051,547.0387714987714,1.816193853427896,2
ALAGOA GRANDE,PB,658,474.87613981762917,492.2162613981763,488.9455927051672,482.6109422492401,560.790273556231,499.8878419452888,0.8454483695652174,0
ALAGOA NOVA,PB,581,472.87091222030983,496.59139414802064,493.5382099827883,474.67693631669533,575.52495697074,502.64048192771077,0.8089041095890411,1
ALAGOINHA,PB,454,457.81651982378855,483.05881057268726,483.8579295154185,464.2154185022026,547.6211453744494,487.31396475770936,0.6676776429809359,0
ALAGOINHAS,BA,2780,491.18928057553956,514.9706115107914,509.2574100719425,503.3210791366907,598.0503597122303,523.3577482014389,1.1992645055843094,1
ALCÂNTARA,MA,204,456.15147058823527,489.16323529411767,482.12254901960785,451.2563725490196,558.1372549019608,487.3661764705882,0.8465703971119134,0
ALEGRE,ES,814,509.6092137592138,533.1442260442261,516.8334152334153,546.6184275184276,643.6363636363636,549.9683292383293,1.5123612512613522,2
ALEGRETE,RS,837,494.44181600955795,519.5189964157706,523.5192353643966,522.7621266427718,600.884109916368,532.2252568697729,1.8149157581764124,1
ALENQUER,PA,839,454.48569725864127,470.21346841477947,464.17723480333734,450.1087008343266,544.7675804529201,476.7505363528009,0.7511792452830188,0
ALEXANDRIA,RN,670,473.62119402985076,492.9385074626866,490.56223880597014,487.33417910447764,616.9850746268656,512.2882388059702,0.8367911479944675,1
ALEXÂNIA,GO,298,480.86979865771815,517.5593959731544,509.60268456375843,505.3255033557047,622.9530201342282,527.2620805369128,1.486344537815126,1
ALFENAS,MG,1849,519.0265008112493,544.2697674418605,535.5291508923742,569.3425094645755,666.4575446187129,566.9250946457544,2.011738726173873,2
ALHANDRA,PB,304,468.4957236842106,482.4766447368421,485.05986842105267,461.80263157894734,545.3947368421053,488.64592105263154,0.8835078534031413,0
ALIANÇA,PE,543,463.2826887661142,492.2788213627993,486.67421731123386,491.32817679558013,597.9742173112339,506.3076243093923,0.7857717041800643,1
ALMEIRIM,PA,164,462.9378048780488,469.64146341463413,466.98353658536587,453.8853658536585,547.8048780487804,480.25060975609756,1.023,0
ALMENARA,MG,899,483.1631813125695,511.5539488320356,510.00333704115684,511.15873192436044,600.222469410456,523.2203337041157,1.232394366197183,1
ALMIRANTE TAMANDARÉ,PR,730,487.09109589041094,519.6368493150685,516.1564383561644,512.9593150684931,555.6712328767123,518.3029863013699,1.9841981132075472,1
ALPINÓPOLIS,MG,581,494.9060240963856,519.4924268502581,513.2113597246127,554.4903614457832,665.7142857142857,549.5628915662651,1.935299295774648,2
ALTA FLORESTA,MT,834,488.196762589928,511.1080335731415,507.7147482014388,518.7067146282974,619.2326139088728,528.9917745803357,2.3107375271149673,1
ALTA FLORESTA D'OESTE,RO,244,482.93278688524595,507.9127049180328,499.7090163934426,519.652868852459,654.016393442623,532.8447540983607,1.6110169491525423,1
ALTAMIRA,PA,3339,471.94153938304885,498.3834381551363,491.3818808026355,489.15549565738246,581.9706498951782,506.5666007786763,1.3314734821214302,1
ALTINHO,PE,354,476.35593220338984,511.04435028248594,500.17937853107344,516.7045197740113,613.8418079096045,523.625197740113,0.7170886075949368,1
ALTO ALEGRE,RR,82,451.33414634146345,481.0707317073171,483.5621951219512,446.72804878048777,466.5853658536585,465.8560975609756,1.135,0
ALTO DO RODRIGUES,RN,479,473.73319415448856,491.67828810020876,495.85511482254697,483.4089770354906,580.4592901878915,505.0269728601253,1.1210801393728222,1
ALTO PARAÍSO,RO,112,468.125,485.09999999999997,477.4741071428571,470.87857142857143,535.5357142857143,487.4226785714285,1.2095959595959596,0
ALTO SANTO,CE,327,456.85412844036694,474.29755351681956,477.34220183486235,471.61345565749235,494.6788990825688,474.957247706422,0.860733695652174,0
ALTOS,PI,1721,459.6140034863451,481.40517141196983,479.2723416618245,474.4162696106915,576.4090644973852,494.22337013364324,0.806707974137931,0
ALVARÃES,AM,61,439.91803278688525,463.6885245901639,459.0032786885246,435.872131147541,497.37704918032784,459.17180327868857,0.922316384180791,0
ALVINÓPOLIS,MG,264,485.13598484848484,522.5912878787879,509.9200757575757,530.6393939393939,588.6363636363636,527.3846212121211,1.5942367601246106,1
ALVORADA,RS,1512,490.3570105820106,527.7765873015873,527.01541005291,516.2578703703704,578.5449735449736,527.9903703703703,1.8893532776066873,1
ALVORADA D'OESTE,RO,211,471.3312796208531,485.13744075829385,482.2535545023697,490.5440758293839,612.0379146919431,508.2608530805687,1.797808764940239,1
ALVORADA DO NORTE,GO,272,470.51948529411766,478.3180147058824,492.03345588235294,487.01286764705884,558.8970588235294,497.35617647058825,1.1227409638554218,0
ALVORADA DO SUL,PR,236,491.27372881355933,516.7300847457627,519.4114406779661,523.6072033898305,586.6101694915254,527.5265254237288,2.032649253731343,1
ALÉM PARAÍBA,MG,638,503.5952978056426,533.5443573667711,528.3297805642634,556.1474921630094,679.9686520376175,560.3171159874607,1.689681335356601,2
AMAMBAI,MS,504,476.11944444444447,510.3075396825397,500.07896825396824,504.6984126984127,564.2857142857143,511.0980158730159,1.402190923317684,1
AMAPÁ,AP,179,440.4022346368715,463.1379888268156,454.2262569832402,431.34748603351954,548.7150837988827,467.56581005586594,0.9882920110192838,0
AMARANTE,PI,494,443.7933198380567,465.6811740890688,465.5599190283401,445.3378542510121,539.5546558704453,471.98538461538465,0.6778033794162827,0
AMARANTE DO MARANHÃO,MA,572,449.7910839160839,466.12447552447554,466.40769230769234,455.6536713286713,547.2727272727273,477.0499300699301,1.0092449922958397,0
AMARGOSA,BA,1195,480.4897907949791,504.56100418410045,495.62753138075317,494.1789958158996,600.5690376569038,515.0852719665272,0.875534188034188,1
AMERICANA,SP,2340,528.4396153846153,562.1881196581196,551.1489743589744,598.2274786324787,669.3162393162393,581.8640854700855,3.1820592134334955,2
AMONTADA,CE,924,451.52564935064936,469.8,478.24880952380954,488.6003246753247,550.1731601731602,487.6695887445888,0.50764192139738,0
AMPARO,SP,990,528.5811111111111,560.8119191919193,549.3743434343434,599.9120202020202,649.3131313131313,577.5985050505051,2.6148373983739837,2
AMPÉRE,PR,320,502.4203125,539.2115625,530.2609375,543.796875,612.375,545.6129375,2.1342905405405403,2
AMÉLIA RODRIGUES,BA,364,475.89230769230767,497.70247252747254,500.118956043956,488.98818681318687,601.6483516483516,512.870054945055,0.9446952595936795,1
ANAGÉ,BA,478,466.26506276150633,491.6225941422594,480.6506276150628,475.49288702928874,598.1171548117155,502.4296652719666,0.7215808170515098,0
ANAJATUBA,MA,217,455.26866359447007,474.3995391705069,474.97373271889404,461.81520737327185,606.5437788018434,494.6001843317973,0.7115384615384616,0
ANAJÁS,PA,198,445.0232323232324,459.30707070707075,455.1818181818182,441.25656565656567,511.8181818181818,462.51737373737376,0.740625,0
ANAMÃ,AM,109,437.8743119266055,449.4889908256881,461.6587155963303,457.2467889908257,502.9357798165138,461.8409174311927,0.7617647058823529,0
ANANINDEUA,PA,12888,482.9085505896959,512.5691573556796,505.1570918684047,497.9844428926133,603.7725015518312,520.4783488516449,1.2255742772289229,1
ANANÁS,TO,209,457.38325358851677,482.8373205741627,477.84066985645933,472.66315789473686,569.0909090909091,491.9630622009569,1.1739583333333334,0
ANASTÁCIO,MS,243,470.6,497.35473251028804,490.940329218107,482.75390946502057,560.4938271604939,500.42855967078196,1.476628895184136,0
ANCHIETA,ES,919,504.97159956474434,534.342219804135,529.4411316648532,558.7892274211099,660.9357997823721,557.6959956474428,1.8190055762081785,2
ANDRADAS,MG,414,513.7729468599034,539.0980676328503,532.2647342995169,561.5954106280193,661.0144927536232,561.5491304347827,2.0213270142180093,2
ANDRADINA,SP,808,500.1089108910891,530.0362623762376,524.0715346534653,548.2715346534653,621.559405940594,544.8095297029702,2.2486945169712795,2
ANDRELÂNDIA,MG,507,487.81084812623277,511.4179487179487,507.8145956607495,521.0609467455622,590.0197238658777,523.6248126232742,1.3828571428571428,1
ANGICOS,RN,830,470.03337349397594,495.8903614457831,493.30746987951807,490.7683132530121,565.0843373493976,503.0167710843374,0.9638063279002876,1
ANGRA DOS REIS,RJ,1643,498.2202069385271,529.2055386488131,521.0244674376141,532.2196591600731,600.4503956177724,536.2240535605599,1.8903836571998007,1
ANORI,AM,107,442.04579439252336,463.7719626168224,471.95420560747664,449.43177570093457,537.9439252336449,473.02953271028036,0.9114349775784754,0
ANÁPOLIS,GO,6133,511.53715962824066,539.3332952877875,530.064715473667,557.9804989401598,695.4834501875102,566.8798239034729,1.9555334613274822,2
APARECIDA,SP,357,500.48431372549015,538.0109243697478,529.9910364145658,556.6126050420169,614.1176470588235,547.8433053221288,2.044831223628692,2
APARECIDA DE GOIÂNIA,GO,6381,491.9692994828397,520.9111737972105,514.8120670741263,519.7170192759755,629.1176931515437,535.3054505563391,1.710555297936471,1
APARECIDA DO TABOADO,MS,193,499.85854922279793,520.9341968911917,515.5678756476684,533.1487046632125,610.1554404145078,535.9329533678756,2.006377551020408,1
APIAÍ,SP,411,477.70778588807786,515.4627737226277,513.9897810218978,510.8630170316302,559.7566909975669,515.5560097323602,1.6030828516377649,1
APODI,RN,1275,490.1403137254902,515.6327843137256,506.93607843137255,517.981725490196,647.4666666666667,535.6315137254902,1.0010541110330289,1
APUCARANA,PR,1671,505.4769000598444,534.8941950927588,528.538539796529,551.6944943147815,594.8294434470376,543.0867145421903,2.2924973767051418,2
APUÍ,AM,107,466.68411214953267,496.1439252336449,491.696261682243,489.6336448598131,520.1869158878504,492.8689719626168,1.3410714285714285,0
AQUIDAUANA,MS,686,471.76137026239064,501.12507288629735,494.1137026239067,489.9892128279883,570.466472303207,505.49116618075794,1.487487733071639,1
AQUIRAZ,CE,1010,476.2124752475247,500.47247524752476,502.3083168316832,511.8484158415842,618.4752475247525,521.8633861386139,1.1014790468364832,1
ARACAJU,SE,17356,509.84183567642316,535.1877391103941,527.9231850656834,545.5368575708688,666.6743489283245,557.0327932703387,1.6273691800576844,2
ARACATI,CE,1743,470.846528973035,494.2410212277682,498.1286861732645,504.4349397590361,582.8341939185312,510.097074010327,0.9685159176029963,1
ARACI,BA,488,474.1493852459016,498.62643442622954,490.3180327868853,484.2815573770492,595.9426229508197,508.6636065573771,0.9302536231884058,1
ARACOIABA,CE,849,459.8482921083628,482.111542991755,486.6606595995289,488.2663133097762,588.2214369846879,501.0216489988222,0.6458990536277602,0
ARACRUZ,ES,1212,513.636386138614,545.4939768976898,533.963201320132,566.6310231023102,657.7392739273928,563.4927722772278,2.038965291421087,2
ARAGARÇAS,GO,239,483.81046025104604,501.82719665271964,494.0786610878661,489.8523012552301,527.7824267782427,499.4702092050209,1.4504310344827587,1
ARAGUANÃ,TO,85,443.5988235294118,458.4611764705882,464.5105882352941,447.39294117647063,540.0,470.79270588235295,0.7743362831858407,0
ARAGUARI,MG,1458,516.9170096021948,543.8315500685871,535.8572016460905,562.5135116598079,661.687242798354,564.1613031550069,2.2801244269810086,2
ARAGUATINS,TO,700,460.34957142857144,478.25142857142856,480.4157142857143,471.4668571428571,573.2285714285714,492.74242857142855,1.2128418549346016,0
ARAGUAÍNA,TO,3832,486.9817066805845,511.91443110647185,506.5330114822547,509.96719728601255,618.6012526096033,526.7995198329854,1.667839859216894,1
ARAIOSES,MA,298,457.6493288590604,483.40167785234905,473.0734899328859,456.05503355704695,562.8187919463087,486.5996644295302,0.7444168734491315,0
ARAME,MA,347,449.478386167147,472.7069164265129,469.8847262247839,470.81412103746396,556.7723342939481,483.93129682997125,0.8188502673796791,0
