NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,5229,450.211971696309,477.77689806846433,490.8756741250717,474.9154714094473,571.3520749665328,493.02641805316506,1.4585209003215434,0
ABAETÉ,MG,801,483.4126092384519,513.2247191011236,525.8008739076155,545.3770287141074,587.2659176029963,531.0162297128588,2.355693348365276,2
ABREU E LIMA,PE,2402,462.6891756869275,492.2196086594504,510.2022897585345,499.3135720233139,540.4829308909242,500.9815154038301,1.6086884704327715,1
ACARAPE,CE,580,446.8894827586207,476.8706896551725,498.4170689655173,499.1141379310345,579.9655172413793,500.2513793103448,1.406804733727811,1
ACARAÚ,CE,1121,455.1386262265834,485.7257805530776,503.9606601248885,509.2707404103479,571.2578055307761,505.0707225691347,1.1043276661514685,1
ACARI,RN,504,468.178373015873,501.6380952380953,512.9113095238095,507.1107142857143,602.8571428571429,518.5391269841269,1.862126245847176,1
ACARÁ,PA,646,435.090092879257,469.90959752321976,477.50216718266256,458.3862229102167,531.4241486068112,474.4624458204335,1.344559585492228,0
ACOPIARA,CE,1161,446.6052540913006,478.2318690783807,493.0987941429801,495.50387596899225,520.1894918173988,486.7258570198105,1.2090690208667736,0
ACRELÂNDIA,AC,402,442.7179104477612,473.1995024875622,490.1480099502488,476.2592039800995,499.55223880597015,476.3753731343284,1.599562363238512,0
ACREÚNA,GO,456,463.875,489.7837719298245,508.1611842105263,500.3495614035088,540.2631578947369,500.4865350877193,2.283333333333333,1
ADAMANTINA,SP,398,506.4693467336683,534.7022613065327,542.4683417085427,561.6321608040201,615.0251256281407,552.059447236181,3.568561872909699,2
AFOGADOS DA INGAZEIRA,PE,762,471.04199475065616,495.25118110236224,517.6064304461942,520.5444881889764,574.7506561679791,515.8389501312337,1.5524891774891776,1
AFONSO CLÁUDIO,ES,553,476.855877034358,508.46039783001805,516.3247739602169,534.662567811935,594.5388788426764,526.1684990958408,1.9982905982905983,2
AFRÂNIO,PE,932,439.3925965665237,466.4896995708155,484.7473175965665,494.9932403433477,513.7768240343347,479.8799356223176,1.2352631578947368,0
AGRESTINA,PE,797,455.1534504391468,490.6612296110414,505.0792973651192,503.8053952321205,541.8820577164366,499.31628607277287,1.285796766743649,1
AGUDOS,SP,403,495.3880893300248,531.863523573201,538.9027295285359,541.1521091811414,598.2630272952854,541.1138957816378,3.1920077972709557,2
AIMORÉS,MG,446,475.0625560538117,513.6793721973094,525.6636771300448,520.4441704035875,566.5022421524664,520.2704035874439,2.223132969034608,1
ALAGOA GRANDE,PB,868,452.1180875576037,480.4039170506912,497.95864055299535,486.6890552995391,555.7142857142857,494.57679723502304,1.4048804780876494,1
ALAGOA NOVA,PB,763,452.88466579292265,489.5629095674967,498.80458715596336,482.9737876802097,565.8453473132372,498.0142595019659,1.3729189789123195,1
ALAGOINHA,PB,556,439.2241007194245,468.4010791366906,484.70593525179856,468.473381294964,535.7553956834532,479.3119784172662,1.3421461897356144,0
ALAGOINHAS,BA,4008,465.4477045908183,493.0589570858284,510.3311377245509,493.39962574850296,537.8842315369261,500.0243313373254,1.823824513082825,1
ALCÂNTARA,MA,280,439.56178571428575,464.6796428571429,482.8178571428571,474.15607142857147,525.1428571428571,477.27164285714287,1.5773480662983426,0
ALEGRE,ES,1193,487.86479463537296,515.8210393964795,521.4746018440904,529.1356244761107,588.0469404861693,528.4686001676445,2.355914718019257,2
ALEGRETE,RS,1461,470.2895277207392,504.6516084873375,520.6624914442164,506.0114305270362,546.7624914442163,509.6755099247092,2.6120591581342434,1
ALENQUER,PA,1170,429.9531623931624,461.355641025641,475.8935042735043,456.7964957264957,498.44444444444446,464.4886495726496,1.2747252747252746,0
ALEXANDRIA,RN,662,454.8850453172206,478.0960725075528,497.22145015105735,498.29501510574016,566.8277945619335,499.0650755287009,1.360385144429161,1
ALEXÂNIA,GO,342,456.7558479532164,495.0052631578947,510.2461988304094,491.462865497076,534.8538011695906,497.66479532163737,2.186320754716981,1
ALFENAS,MG,2804,494.5742510699001,521.8698644793153,532.510057061341,547.4402639087018,618.8231098430813,543.043509272468,2.8171091445427727,2
ALHANDRA,PB,478,445.25376569037655,474.4577405857741,492.1797071129707,476.6707112970712,536.4435146443515,485.0010878661088,1.5,0
ALIANÇA,PE,665,454.9637593984963,484.72616541353386,500.98210526315785,488.4580451127819,546.3157894736842,495.0891729323308,1.385832187070151,1
ALMEIRIM,PA,299,427.9374581939799,463.89665551839465,474.095652173913,457.52140468227424,490.70234113712377,462.8307023411371,1.3451086956521738,0
ALMENARA,MG,1332,457.5478228228228,490.1111111111111,507.32394894894895,500.3539039039039,537.2972972972973,498.5268168168168,1.6663533834586466,1
