NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,4248,461.21056967984936,473.88168549905834,487.08620527306965,464.8151600753296,555.1035781544256,1.2849404841513976,0
ABAETÉ,MG,547,493.64040219378427,523.1334552102377,533.2138939670932,540.9349177330896,592.9798903107861,1.9927835051546392,1
ABREU E LIMA,PE,1655,473.1855589123867,485.74126888217523,512.5520241691843,490.5689425981873,538.5256797583081,1.4215273601924234,2
ACARAPE,CE,394,450.0266497461929,464.52715736040614,486.49644670050765,471.0164974619289,560.2030456852792,1.1580996884735202,0
ACARAÚ,CE,752,468.19308510638297,487.4303191489361,506.15345744680855,510.0094414893617,611.4627659574468,1.0120967741935485,2
ACARI,RN,379,476.42163588390497,498.1746701846966,506.8575197889182,503.2598944591029,590.976253298153,1.6716171617161717,2
ACARÁ,PA,495,445.6448484848485,462.59818181818184,475.7628282828283,450.0880808080808,527.5959595959596,1.158125,0
ACOPIARA,CE,736,459.1917119565217,480.15665760869564,493.67391304347825,486.7077445652174,547.3913043478261,1.1590909090909092,0
ACRELÂNDIA,AC,240,462.25374999999997,476.02875,490.9,475.01416666666665,509.25,1.3216168717047452,0
ACREÚNA,GO,271,477.2719557195572,498.8070110701107,514.9265682656827,502.9771217712177,531.2177121771218,1.853125,2
ADAMANTINA,SP,268,532.5223880597015,566.7880597014926,562.955223880597,589.2652985074627,646.7164179104477,3.0158069883527454,1
AFOGADOS DA INGAZEIRA,PE,577,480.1774696707106,505.7305025996534,519.9551126516465,512.3512998266898,570.7105719237435,1.3720728534258457,2
AFONSO CLÁUDIO,ES,421,490.9767220902613,515.4558194774347,514.8783847980998,519.1237529691211,568.5035629453681,1.770606531881804,2
AFRÂNIO,PE,549,454.1581056466302,468.39089253187615,485.85009107468125,486.46466302367935,511.9854280510018,1.0603260869565216,0
AGRESTINA,PE,359,473.8540389972145,497.07743732590524,504.34011142061286,489.8562674094707,562.1727019498608,1.053921568627451,2
AGUDOS,SP,244,518.4983606557378,545.2077868852459,554.9733606557377,567.3389344262296,613.1147540983607,2.8238831615120277,1
AIMORÉS,MG,317,502.3804416403786,529.6343848580442,539.4078864353312,543.6548895899053,614.9526813880126,2.1163166397415187,1
