MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,6387,455.2848442148113,537.5130421167997,479.1523876624393,433.3551589165492,536.540472835447,488.36918114920934,1.1309242375366642
ABAETÉ,MG,1334,489.46041979010494,562.5117691154422,509.32818590704653,494.86026986506744,544.4827586206897,520.1286806596702,1.8674142480211082
ABREU E LIMA,PE,3689,466.38910273786934,546.799430740038,492.46345893195985,444.6650853889943,520.8454865817295,494.2325128761182,1.4228734887737478
ACARAPE,CE,735,443.7593197278911,532.7542857142857,474.27659863945576,435.75442176870746,507.86394557823127,478.8817142857142,1.0427981109799291
ACARAÚ,CE,1931,450.96752977731745,527.3961677887105,470.0964785085448,446.8792335577421,515.0564474365614,482.0791714137752,0.8848231827111984
ACARI,RN,669,468.07309417040364,554.7059790732436,498.8286995515695,451.3055306427504,557.6472346786248,506.11210762331837,1.4586614173228347
ACARÁ,PA,822,445.1799270072993,526.3989051094891,466.26338199513384,417.36873479318734,495.6447688564477,470.17114355231143,0.968413320274241
ACOPIARA,CE,1926,446.7998442367601,528.3985462097612,469.2309968847352,439.98930425752854,512.2980269989616,479.3433437175494,0.8507969303423849
ACRELÂNDIA,AC,522,454.41379310344826,535.7174329501916,472.1333333333333,440.02203065134097,484.5977011494253,477.3768582375478,1.2280431432973806
ACREÚNA,GO,757,465.31770145310435,538.883355350066,485.5310435931308,448.73764861294586,500.58124174372523,487.81019815059443,1.9595410628019323
ADAMANTINA,SP,867,489.6252595155709,563.0562860438292,510.5423298731257,483.55167243367936,539.6828143021914,517.2916724336794,2.8322949117341643
AFOGADOS DA INGAZEIRA,PE,1318,464.15037936267066,549.7232169954476,492.4354324734446,456.4417298937784,525.7177541729894,497.69370257966614,1.2432610124917818
AFONSO CLÁUDIO,ES,912,478.4779605263158,557.0024122807017,495.00350877192983,478.4400219298245,518.0701754385965,505.3988157894737,1.5119165839126116
AFRÂNIO,PE,1041,448.8696445725264,536.8496637848223,472.43275696445727,446.3541786743516,506.3727185398655,482.1757925072046,0.8625678119349005
AGUDOS,SP,740,488.6954054054054,572.3258108108108,522.814054054054,485.80121621621623,547.895945945946,523.5064864864864,2.6128947368421054
AIMORÉS,MG,496,486.0195564516129,566.4635080645162,515.6844758064516,493.43790322580645,539.0322580645161,520.1275403225807,1.8730703259005146
ALAGOA GRANDE,PB,1078,457.9248608534323,540.4243970315399,483.1252319109462,437.5286641929499,522.430426716141,488.2867161410019,1.134220136044987
ALAGOA NOVA,PB,1072,454.0378731343283,541.013526119403,484.91007462686565,437.70830223880597,523.7873134328358,488.29141791044776,1.083930170098478
ALAGOINHA,PB,559,443.4039355992844,522.1153846153846,462.67334525939174,421.9840787119857,509.5527728085868,471.94590339892665,1.0647540983606558
ALAGOINHAS,BA,5763,471.20036439354504,552.9614263404477,496.33184105500607,447.2358840881485,529.0950893631789,499.3649210480652,1.5591641831481984
ALCÂNTARA,MA,403,450.17692307692306,529.9133995037221,477.56699751861044,429.88238213399507,516.0297766749379,480.71389578163763,1.212715105162524
ALEGRE,ES,1594,487.09642409033876,563.6858845671268,501.0910915934755,486.3988707653702,526.4868255959849,512.9518193224592,1.981694281133084
ALEGRETE,RS,3245,470.99734976887515,554.5850539291217,502.9186748844376,456.6846533127889,522.8271186440678,501.60257010785824,1.8678986995208762
ALENQUER,PA,732,437.45450819672135,522.9629781420765,464.21707650273225,416.22773224043715,497.56830601092895,467.6861202185793,1.0228399041449936
ALEXANDRIA,RN,737,458.09850746268654,544.2843962008141,485.5496607869742,438.8879240162823,539.2672998643147,493.21755766621436,0.9935265104808878
ALEXÂNIA,GO,623,458.1224719101123,539.2725521669341,485.9574638844302,445.9199036918138,493.90048154093097,484.63457463884424,1.8258988015978694
ALFENAS,MG,4501,491.88715840924243,568.9498333703622,515.4653854698956,488.8886914019107,560.0444345700955,525.0471006443013,2.201880235252183
ALHANDRA,PB,649,448.93127889060094,526.4896764252696,466.82218798150996,419.3993836671803,484.77657935285055,469.28382126348225,1.114321608040201
ALIANÇA,PE,845,454.8913609467456,538.1920710059171,482.65372781065093,438.84792899408285,518.6745562130177,486.6519289940828,1.106256206554121
ALMEIRIM,PA,510,440.5770588235294,522.228431372549,459.3370588235294,416.3523529411765,486.27450980392155,464.9538823529412,1.3221906116642959
ALMENARA,MG,1974,463.831053698075,544.620820668693,489.0001013171226,453.3210739614995,512.8571428571429,492.72603850050655,1.3461538461538463
ALMIRANTE TAMANDARÉ,PR,1592,473.20282663316584,558.0740577889447,507.9807788944724,450.4240577889447,511.6576633165829,500.2678768844221,2.1933635970600953
ALPINÓPOLIS,MG,1254,488.73827751196177,564.3863636363636,508.94736842105266,500.26874003189795,538.9952153110048,520.2671929824562,1.9567131327953045
ALTA FLORESTA,MT,1591,473.09076052796985,547.3853551225644,487.1829038340666,446.61948460087996,515.4871150219988,493.95312382149586,2.3402128764278296
ALTA FLORESTA D'OESTE,RO,771,466.3966277561608,541.9164721141375,478.7418936446174,439.0440985732815,482.3346303501946,481.6867444876783,1.5874730021598271
ALTAMIRA,PA,5803,458.08950542822674,538.4938652421162,479.5856281233844,429.7173703256936,511.4494227123901,483.46715836636224,1.9240907441984503
