MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,7269,460.6675883890494,514.5323565827487,493.6463750171963,452.4433484660889,525.786903287935,489.4153143486037,1.040698314792378
ABAETÉ,MG,1460,483.5607534246575,535.2069863013699,522.3586986301369,506.1304109589041,543.6575342465753,518.1828767123287,1.6347864768683273
ABREU E LIMA,PE,3946,468.4941966548404,525.707374556513,514.8147491130259,469.57627977698934,523.1779016725799,500.3541003547897,1.272913561847988
ACARAPE,CE,852,451.84765258215964,507.26349765258215,494.5409624413146,449.799765258216,499.7887323943662,480.6481220657277,0.8679805615550756
ACARAÚ,CE,1699,462.8676868746321,504.6717480871101,493.856856974691,468.022601530312,512.218952324897,488.3275691583284,0.8071754563894523
ACARI,RN,614,473.6231270358306,529.778013029316,515.0688925081433,481.2905537459284,566.8078175895765,513.313680781759,1.3091216216216217
ACARÁ,PA,931,445.3721804511278,498.8009667024705,486.86305048335123,446.25220193340493,485.8421052631579,472.6261009667025,0.925531914893617
ACOPIARA,CE,1767,456.0063384267119,500.7252405206565,494.8848896434635,459.8625919637804,507.2665534804754,483.74912280701756,0.7767379679144385
ACRELÂNDIA,AC,597,449.5482412060301,500.61139028475714,489.89195979899495,454.79581239530984,469.2462311557789,472.8187269681742,1.0814917127071824
ACREÚNA,GO,754,466.8027851458886,518.1834217506631,508.9789124668435,484.5298408488064,515.5968169761273,498.81835543766573,1.8404314159292035
ADAMANTINA,SP,907,493.33550165380376,547.6740904079383,538.0550165380375,512.6642778390298,565.2381477398015,531.3934068357222,2.3513698630136988
AFOGADOS DA INGAZEIRA,PE,1400,467.4764285714286,517.0184285714286,511.76792857142857,477.87035714285713,523.4542857142857,499.5174857142857,1.04851598173516
AFONSO CLÁUDIO,ES,873,481.9505154639175,534.7106529209623,516.7379152348225,492.3475372279496,541.2142038946163,513.3921649484536,1.501207729468599
AFRÂNIO,PE,1063,459.2649106302916,501.98936970837246,493.33104421448735,460.59463781749764,518.3113828786453,486.6982690498588,0.8056277056277056
AGRESTINA,PE,888,457.07139639639644,515.4143018018018,499.865990990991,460.1873873873874,511.8277027027027,488.8733558558559,0.9727608494921515
AGUDOS,SP,708,489.0200564971752,546.8491525423728,539.456638418079,506.0776836158192,554.6045197740114,527.2016101694915,2.2757978723404255
AIMORÉS,MG,695,479.7109352517985,535.2359712230216,523.3673381294964,496.823309352518,532.4892086330935,513.5253525179857,1.6565170940170941
ALAGOA GRANDE,PB,1189,460.15004205214467,513.3961312026913,502.60319596299405,461.98309503784697,524.8814129520606,492.6027754415475,1.0202654232424677
ALAGOA NOVA,PB,1202,458.73136439267887,513.8073211314476,502.90515806988356,457.76272878535775,528.9850249584026,492.4383194675541,1.0088803088803089
ALAGOINHA,PB,611,446.4070376432079,498.9425531914894,488.6995090016367,450.249263502455,503.9279869067103,477.64527004909985,0.9559238363892807
ALAGOINHAS,BA,5910,472.72859560067684,530.0734179357022,512.9155329949239,472.52382402707275,527.258883248731,503.10005076142136,1.3453323734101272
ALCÂNTARA,MA,473,456.8911205073996,504.0708245243129,492.100422832981,445.00782241014804,496.9133192389006,478.99670190274844,1.1123188405797102
ALEGRE,ES,1813,494.30739106453393,538.4159955874242,520.6023166023166,505.5482625482625,544.765581908439,520.7279095421952,1.6980374665477251
ALEGRETE,RS,2877,471.5048661800487,528.2060479666319,516.6954814042405,485.22189781021893,523.4237052485228,505.01039972193246,1.7517298821117375
ALENQUER,PA,1177,444.98317757009346,497.40169923534415,487.0892948173322,440.3378079864061,492.25573491928634,472.41354290569245,0.9115975935828877
ALEXANDRIA,RN,828,463.4103864734299,512.348188405797,502.15772946859903,464.62838164251207,537.512077294686,496.01135265700475,0.9674776564051638
ALEXÂNIA,GO,612,455.3888888888889,517.1995098039215,509.6165032679738,472.9911764705882,512.0588235294117,493.4509803921568,1.636138613861386
