UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL
AC,17938.0,1.0164790444892249,466.03327572750584,485.38497045378523,505.95983944698406,474.7302709332144,550.6455569182741,496.5507826959527
AL,47616.0,0.9029916550949051,473.66024025537627,492.3578860047043,509.833238827285,495.22632728494625,582.5554435483871,510.7266271841398
AM,46816.0,0.8059996788948451,470.0525845864661,495.99408108339026,498.055880468216,484.87967147983585,556.9886363636364,501.19417079630904
AP,19069.0,0.8928038280844239,464.14090932927786,485.91582673449057,499.58940689076513,469.79110073942,553.634695054801,494.6143877497509
BA,203715.0,0.9149743747136618,477.67719657364455,497.80354416709616,514.4308533981298,495.48569864762044,578.0851680043197,512.6964921581622
CE,147331.0,0.7596494645027764,482.61011260359317,506.54173188263167,520.0251406696485,515.302327412425,600.8116418133319,525.0581908763261
DF,51051.0,1.8556205026501944,503.096922685158,531.2576815341521,542.6657518951637,533.3595600477953,595.7599263481617,541.2279685020861
ES,45459.0,1.479286835322259,504.36666226709775,528.3947293165271,535.4221628280427,539.046494643525,606.1629160342286,542.6785930178843
GO,86886.0,1.4103153440688707,491.29292636328057,514.4404668185898,528.1211311373524,517.8616624082131,598.8674815275189,530.1167336509909
MA,108958.0,0.8100752012595691,464.58262357972797,483.9162613116982,501.0523550358854,477.9810826189907,563.6017548046036,498.2268154701812
MG,252123.0,1.547673470838945,507.166336272375,535.3314211714124,542.7018391816694,549.0448566770981,622.0088607544731,551.2506628114056
MS,30804.0,1.480138552374987,489.14310154525384,511.6324503311258,526.5265062978834,514.4901928320996,571.5290222049084,522.6642546422543
MT,38300.0,1.6054661451052787,484.0817101827676,506.80463968668414,519.4764020887728,507.2911357702349,571.9890339425588,517.9285843342037
PA,148060.0,0.914294548526758,469.2151384573822,488.3844995272187,502.4668830203972,479.9297453734972,572.4195596379845,502.4831652032959
PB,78878.0,0.8583919822699069,479.1582646618828,500.0102094373589,513.9038984254164,503.33214204214096,591.8550166079261,517.651906234945
PE,147731.0,0.9080059401667575,482.8571254509885,502.40512620912335,520.8633550168889,511.65109489545193,587.6399672377497,521.0833337620406
PI,65946.0,0.7726165549330971,471.1810799745246,490.1373775513299,504.72400448852096,491.6798805082946,583.8155460528311,508.30757771510025
PR,104502.0,1.9406623804768526,507.470613002622,536.6730502765497,542.6148762703106,546.0352146370406,589.5253679355419,544.4638244244128
RJ,167193.0,1.5784388179678757,501.648721537385,531.2905970943759,544.134854928137,537.6462591137188,616.7225900605887,546.288604546841
RN,64299.0,1.0151158203453416,487.05364158074,508.4914508779297,522.7420628625638,515.7789141355231,596.5508017231995,526.1233742359912
RO,21633.0,1.3750037455945912,477.8916007950816,495.6795451393703,510.12874774649856,494.09846530763184,554.6239541441316,506.48446262654284
RR,5950.0,1.1094308175903784,480.1736974789915,503.25235294117647,516.5187394957982,494.4755798319328,554.0537815126052,509.6948302521007
RS,107545.0,1.9146350352803334,497.4172560323585,531.1793416709284,542.234630154819,536.8490297084941,596.4435352643079,540.8247585661816
SC,51172.0,2.22115546315036,509.54364691628234,539.4583795825843,543.562727663566,551.5198819667006,600.7703431564137,548.9709958571093
SE,44435.0,0.8495383631924149,481.4059525149094,499.43944638235627,512.363139417126,498.04923821312025,604.3263193428603,519.1168191740745
SP,371290.0,2.0152540745409744,511.7330288992432,542.0924646502733,552.5294772280429,556.8079600851086,608.9553718117913,554.423660534892
TO,24125.0,1.040506308139853,470.8933761658031,490.3129367875648,507.1699606217616,490.8094383419688,562.2715025906735,504.29144290155443
