COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA
1100015,RO,202,481.40841584158414,517.4509900990099,494.9460396039604,519.8920792079208,660.0,534.7395049504951,ALTA FLORESTA D'OESTE,1.7427797833935017
1100023,RO,1128,486.79698581560285,518.6753546099292,508.35354609929084,531.7600177304965,639.645390070922,537.0462588652483,ARIQUEMES,1.8493485342019544
1100049,RO,1302,491.1230414746543,525.5152841781875,513.0899385560675,538.1176651305683,652.089093701997,543.9870046082949,CACOAL,1.997827346465817
1100056,RO,200,491.44849999999997,519.7125,505.834,516.474,639.9,534.6738,CEREJEIRAS,2.0148221343873516
1100064,RO,230,495.85434782608695,519.3508695652174,508.5326086956522,531.3299999999999,652.7826086956521,541.5700869565217,COLORADO DO OESTE,1.9557823129251701
1100098,RO,278,482.9809352517986,503.34712230215825,491.0705035971223,518.1514388489209,636.115107913669,526.3330215827339,ESPIGÃO D'OESTE,1.5886491557223263
1100106,RO,757,463.8952443857332,488.01809775429325,476.579788639366,482.63632760898287,567.9260237780713,495.81109643328926,GUAJARÁ-MIRIM,1.2882595648912227
1100114,RO,591,474.01776649746193,509.2072758037225,501.9685279187818,515.1037225042301,623.9932318104907,524.8581049069373,JARU,1.6349892008639308
1100122,RO,1300,482.4851538461538,512.4065384615385,503.2600769230769,519.895923076923,632.4,530.0895384615385,JI-PARANÁ,1.8772907379891035
1100130,RO,245,471.9722448979592,504.27755102040817,491.905306122449,503.9779591836735,605.0612244897959,515.4388571428572,MACHADINHO D'OESTE,1.6960526315789475
1100148,RO,140,470.3414285714286,505.2792857142858,483.425,516.0121428571429,630.1428571428571,521.0401428571429,NOVA BRASILÂNDIA D'OESTE,1.466824644549763
1100155,RO,433,485.9570438799076,520.3983833718245,509.1586605080832,526.6905311778291,631.0392609699769,534.6487759815243,OURO PRETO DO OESTE,1.8560885608856088
1100189,RO,383,477.1702349869452,509.5117493472585,497.4274151436032,515.9031331592689,611.4360313315927,522.2897127937338,PIMENTA BUENO,1.8727678571428572
1100205,RO,7870,485.0833545108005,519.4259720457433,508.25639135959335,518.1940025412961,638.8208386277001,533.9561118170267,PORTO VELHO,1.7068296643810899
1100254,RO,205,477.09317073170735,501.9687804878049,490.13073170731707,511.74536585365854,621.9512195121952,520.5778536585366,PRESIDENTE MÉDICI,1.7547619047619047
1100288,RO,906,480.3948123620309,514.3958057395143,500.0848785871965,518.2064017660044,619.690949227373,526.5545695364239,ROLIM DE MOURA,1.8075684380032206
1100304,RO,1116,486.2805555555555,521.1572580645161,512.8286738351255,528.5077956989247,619.6774193548387,533.6903405017921,VILHENA,2.033796895213454
1100320,RO,215,470.5553488372093,496.9944186046512,485.11674418604656,496.72232558139535,629.953488372093,515.8684651162791,SÃO MIGUEL DO GUAPORÉ,1.4954545454545454
1100346,RO,195,470.89230769230767,489.4558974358974,475.7928205128205,494.8579487179487,610.6666666666666,508.3331282051282,ALVORADA D'OESTE,1.6785714285714286
1100403,RO,84,465.722619047619,491.06071428571425,477.40119047619044,485.76190476190476,572.1428571428571,498.41785714285714,ALTO PARAÍSO,1.370748299319728
