NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,4200,466.85359523809524,489.0062857142857,483.4615476190476,473.04430952380955,591.1952380952381,500.7121952380952,1.3342995169082126
ABAETÉ,MG,471,504.69830148619957,536.4832271762208,527.5653927813163,564.4125265392781,634.3099787685775,553.4938853503184,2.4319587628865977
ABREU E LIMA,PE,1747,476.3783056668575,502.1943903835146,501.80950200343443,494.20057240984545,578.3858042358329,510.5937149398969,1.3506807202459377
ACARAPE,CE,390,457.325641025641,479.0371794871795,484.89692307692303,473.5338461538462,593.7948717948718,497.71769230769223,1.2008928571428572
ACARAÚ,CE,1090,472.8161467889908,497.3802752293578,495.5579816513761,516.5577981651376,684.3302752293578,533.328495412844,1.2018633540372672
ACARI,RN,437,498.2771167048055,524.5018306636156,517.999771167048,527.2009153318078,633.1350114416476,540.222929061785,1.6322916666666667
ACARÁ,PA,580,451.218275862069,477.5341379310345,468.8551724137931,446.03241379310344,549.0,478.52799999999996,1.1915629322268326
ACOPIARA,CE,1000,459.48990000000003,481.6302,483.8172,487.962,568.1,496.19986,1.1592592592592592
ACRELÂNDIA,AC,239,459.5857740585774,482.49623430962345,483.61297071129707,470.4012552301255,522.510460251046,483.7213389121339,1.7175324675324675
ACREÚNA,GO,332,470.2810240963855,504.0346385542169,498.7397590361446,494.2605421686747,573.7951807228916,508.2222289156627,2.3235887096774195
ADAMANTINA,SP,345,530.9078260869566,559.5284057971014,550.9295652173913,597.2855072463768,674.2028985507246,582.5708405797102,3.2817371937639197
AFOGADOS DA INGAZEIRA,PE,882,483.7488662131519,511.35963718820864,511.8280045351474,536.6631519274376,609.9773242630386,530.7153968253967,1.4556004036326942
AFONSO CLÁUDIO,ES,407,497.7695331695332,530.1692874692875,519.8513513513514,551.6808353808354,637.4447174447174,547.383144963145,2.189873417721519
AFRÂNIO,PE,698,453.33681948424066,474.89742120343845,472.5163323782235,498.910888252149,556.4469914040114,491.22169054441264,1.1617210682492582
AGRESTINA,PE,314,477.7474522292994,516.6598726114651,509.7691082802548,523.3589171974522,631.4649681528663,531.8000636942676,1.159779614325069
AGUDOS,SP,276,509.7514492753623,546.7496376811594,544.4902173913043,565.5036231884058,646.8840579710145,562.6757971014492,3.2245508982035926
AIMORÉS,MG,409,498.959902200489,530.9422982885086,526.3523227383863,549.3911980440098,623.6185819070905,545.8528606356969,2.5804597701149423
ALAGOA GRANDE,PB,659,474.1555386949924,492.1233687405159,488.8166919575114,481.87860394537176,560.6676783004552,499.52837632776937,1.278975741239892
ALAGOA NOVA,PB,585,469.6376068376068,495.4210256410256,492.75589743589745,471.43128205128204,574.2905982905983,500.70728205128205,1.2069672131147542
ALAGOINHA,PB,456,456.81600877192983,482.2138157894737,483.6701754385965,462.94890350877193,547.3684210526316,486.60346491228074,1.0726643598615917
ALAGOINHAS,BA,2798,488.82902072909224,514.2726947819872,508.9472837741244,500.9514653323803,597.59113652609,522.1183202287348,1.7476510067114095
ALCÂNTARA,MA,204,456.15147058823527,489.16323529411767,482.12254901960785,451.2563725490196,558.1372549019608,487.3661764705882,1.2464028776978417
ALEGRE,ES,816,509.30575980392155,533.3049019607843,516.9667892156863,546.3372549019608,643.75,549.9329411764705,2.0813492063492065
ALEGRETE,RS,842,492.49501187648457,518.3795724465558,523.233729216152,520.3311163895487,599.2399049881235,530.735866983373,2.3751214771622933
ALENQUER,PA,845,451.25857988165683,469.99218934911244,463.80662721893486,446.9126627218935,542.8165680473372,474.957325443787,1.110273327049953
ALEXANDRIA,RN,670,473.62119402985076,492.9385074626866,490.56223880597014,487.33417910447764,616.9850746268656,512.2882388059702,1.2045454545454546
ALEXÂNIA,GO,299,479.2615384615385,517.5826086956522,509.5682274247491,503.6354515050167,622.876254180602,526.5848160535118,2.153688524590164
ALFENAS,MG,1875,513.1373333333333,543.20176,534.89824,562.8144,663.616,563.5335466666668,2.837282074206527
ALHANDRA,PB,308,462.41136363636366,481.723051948052,484.7574675324675,455.8051948051948,539.4155844155844,484.8225324675324,1.2460732984293195
ALIANÇA,PE,545,463.03467889908256,490.4722935779817,486.2737614678899,490.91963302752293,596.7706422018349,505.49420183486234,1.1567524115755627
ALMEIRIM,PA,178,426.52696629213483,466.9348314606741,465.9837078651686,418.1865168539326,540.1123595505618,463.5488764044943,1.4302788844621515
ALMENARA,MG,905,481.43613259668507,510.9162430939227,509.35182320441993,509.3681767955801,598.7624309392265,521.9669613259668,1.6479925303454714
ALMIRANTE TAMANDARÉ,PR,731,486.4247606019152,519.4352941176471,515.8719562243502,512.2575923392612,555.7865937072503,517.9552393980848,2.4158091674462114
ALPINÓPOLIS,MG,596,482.45033557046986,518.4590604026845,512.4236577181208,540.535067114094,659.5973154362416,542.6930872483221,2.5642123287671232
ALTA FLORESTA,MT,848,480.80589622641514,509.09150943396224,506.93950471698116,511.3139150943396,617.2169811320755,525.0735613207547,3.1360792492179352
ALTA FLORESTA D'OESTE,RO,244,482.93278688524595,507.9127049180328,499.7090163934426,519.652868852459,654.016393442623,532.8447540983607,2.2823920265780733
ALTAMIRA,PA,3363,469.6140350877193,497.1215581326197,490.9658043413619,486.69726434730893,581.1121022896224,505.1021528397265,1.8430604982206407
ALTINHO,PE,354,476.35593220338984,511.04435028248594,500.17937853107344,516.7045197740113,613.8418079096045,523.625197740113,1.0645569620253164
ALTO ALEGRE,RR,82,451.33414634146345,481.0707317073171,483.5621951219512,446.72804878048777,466.5853658536585,465.8560975609756,1.495
ALTO DO RODRIGUES,RN,480,473.6902083333333,490.6539583333333,495.42104166666667,483.229375,579.25,504.4489166666666,1.488695652173913
ALTO PARAÍSO,RO,113,468.8681415929203,480.80707964601766,475.8398230088496,469.7504424778761,534.5132743362832,485.9557522123893,1.685929648241206
ALTO SANTO,CE,327,456.85412844036694,474.29755351681956,477.34220183486235,471.61345565749235,494.6788990825688,474.957247706422,1.266304347826087
ALTOS,PI,1734,457.06493656286045,481.18990772779705,478.9850057670127,471.5722029988466,575.6286043829297,492.8881314878892,1.182625067240452
ALVARÃES,AM,67,400.5223880597015,461.8268656716418,456.3597014925373,396.8388059701493,485.97014925373134,440.3035820895522,1.2949438202247192
